Movie,Rating,Genre,Duration,Budget
Shutter Island,8.2,"Mystery, Thriller",138 min,Not available
Unknown,6.8,Unknown,Unknown,Not available
Who Am I - Kein System ist sicher,7.5,Unknown,Unknown,"1,361,007"
Inside Man,7.6,"Action, Mystery, Thriller",113 min,Not available
The Prestige,8.5,Unknown,Unknown,Not available
The Illusionist,7.5,Unknown,Unknown,"265,294"
Snowden,7.3,"Crime, Drama, Mystery",102 min,Not available
The Shawshank Redemption,9.3,Unknown,Unknown,Not available
Colonia,7.0,Unknown,Unknown,"59,903"
Rescue Dawn,7.3,"Crime, Drama, Mystery",129 min,Not available
Les Misérables,7.4,Unknown,Unknown,Not available
Snowpiercer,7.1,Unknown,Unknown,"383,814"
The Pursuit of Happyness,8.0,"Drama, Mystery, Sci-Fi",130 min,Not available
A Beautiful Mind,8.2,Unknown,Unknown,Not available
The Count of Monte Cristo,7.7,Unknown,Unknown,"1,364,450"
Seven Pounds,7.6,"Drama, Fantasy, Mystery",110 min,Not available
Ip Man,8.0,Unknown,Unknown,Not available
Yip Man 2,7.5,Unknown,Unknown,"380,215"
Yip Man 3,7.0,"Biography, Crime, Drama",134 min,Not available
Jungle,6.7,Unknown,Unknown,Not available
The 33,6.9,Unknown,Unknown,"156,736"
Escape from Alcatraz,7.6,Drama,142 min,Not available
Papillon,7.2,Unknown,Unknown,Not available
Traitor,6.9,Unknown,Unknown,"2,745,612"
The Imitation Game,8.0,"Biography, Drama, History",110 min,Not available
Schindler's List,9.0,Unknown,Unknown,Not available
The Pianist,8.5,Unknown,Unknown,"55,537"
